GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2015 prices)",GDP per capita (current US$),Economy: Agriculture (% of Gross Value Added),Economy: Industry (% of Gross Value Added),Economy: Services and other activity (% of GVA),Employment in agricultureh (% of employed),Employment in industryh (% of employed),Employment in servicese (% employed),Unemploymenth (% of labour force),Labour force participation rateh (female/male pop. %),CPI: Consumer Price Index (2010=100),Agricultural production index (2014-2016=100),International trade: exports (million current US$),International trade: imports (million current US$),International trade: balance (million current US$),"Balance of payments, current account (million US$)",Country
"['19 650', '33 000', '40 895c']","['4.1', '4.9', '2.2c']","['1 955.5', '3 036.0', '3 552.1c']","['12.4', '12.6', '13.9c']","['35.8', '31', '28.6c']","['51.8', '56.5', '57.5c']",,,,,,,"['79', '103', '110c']","['7 051', '8 923', '7 033f']","['5 604', '9 843', '7 115f']","['1 448', '-920', '-82f']","['874', '- 1 936', '-176f']",Bolivia (Plurinational State of)
,,,,,,,,,,,,,,,,,"Bonaire, Sint Eustatius and Saba"
"['17 176', '16 212', '20 164b']","['0.9', '3.1', '2.7b']","['4 635.4', '4 727.3', '6 108.6b']",,,,,,,,,"['100', '104', '104d']","['100', '99', '105b']","['4 803', '5 099', '6 149d']","['9 223', '8 994', '9 867d']","['- 4 420', '- 3 895', '- 3 719d']","['- 1 031', '-826', '-635d']",Bosnia and Herzegovina
"['12 787', '14 421', '18 341b']","['8.6', '-1.7', '3b']","['6 434.8', '6 799.9', '7 961.4b']","['2.8', '2.4', '2.2b']","['35.7', '33.2', '31.2b']","['61.6', '64.4', '66.6b']",,,"['57.1', '59.5', '61.5d']",,,,"['124', '104', '98b']","['4 693', '6 330', '4 256d']","['5 657', '8 048', '6 503d']","['-964', '- 1 718', '- 2 247d']","['-744', '301', '- 1 397b']",Botswana
"['2 208 838', '1 802 212', '1 847 796b']","['7.5', '-3.5', '1.1b']","['11 286.1', '8 814.0', '8 755.3b']",,,,,,,,,,"['89', '102', '110b']",,,,"['- 79 237', '- 54 789', '- 24 074d']",Brazil
"['1 021', '1 174', '1 297b']","['-0.1', '0.8', '2.6b']","['36 732.2', '40 283.1', '43 188.6b']",,,,,,,,,,,,,,,British Virgin Islands
"['13 707', '12 930', '13 469b']","['2.6', '-0.4', '3.9b']","['35 268.9', '31 164.3', '31 086.3b']",,,,,,,,,"['100', '100', '101d']","['90', '98', '97b']","['8 908', '6 353', '7 113i,d']","['2 539', '3 229', '7 236i,d']","['6 369', '3 124', '-124i,d']","['5 016', '2 157', '514d']",Brunei Darussalam
"['50 364', '50 631', '67 926b']","['0.6', '4', '3.4b']","['6 783.0', '7 032.3', '9 703.5b']",,,,,,,"['10.3', '9.1', '3.8c']","['47.7 /       59.5', '48.6 /       60.1', '49.1 /       61.9c']",,"['92', '98', '106b']","['20 608', '25 779', '31 801h,c']","['25 360', '29 265', '34 880h,c']","['- 4 752', '- 3 486', '- 3 079h,c']","['-965', '-123', '-538c']",Bulgaria
"['10 100', '11 823', '15 991b']","['8.4', '3.9', '5.7b']","['647.2', '652.8', '786.9b']",,,,,,,,,,"['89', '96', '107b']","['1 288', '2 177', '3 269i,d']","['2 048', '2 980', '4 150i,d']","['-760', '-802', '-882i,d']","['-182', '-895', '-524b']",Burkina Faso
"['2 032', '2 811', '3 002b']","['5.1', '-0.4', '1.8b']","['234.2', '276.6', '260.4b']","['40.7', '37.5', '38.9b']","['16.3', '16.4', '17.8b']","['43', '46.2', '43.4b']",,,"['6.1', '6.4', '6.5d']",,,,"['99', '96', '150b']","['118', '114', '164e,d']","['404', '561', '878e,d']","['-286', '-447', '-713e,d']","['-301', '-373', '-363c']",Burundi
"['1 664', '1 596', '1 982b']","['1.5', '1', '5.7b']","['3 378.3', '3 041.8', '3 603.8b']",,,,,,,,,,"['113', '101', '80b']","['220', '67', '53i,d']","['731', '603', '727i,d']","['-511', '-537', '-674i,d']","['-223', '-51', '-274d']",Cabo Verde
